Questions,Difficulty Level,Bloom's Taxonomy,Category,Sub Category
what country borders denmark to the south,Hard,Remembering,Location,Country
what should you do for an ankle sprain,Medium,Creating,Description,Description
what dropped         feet in     ,Medium,Understanding,Entity,Other
what is the name of the vaccine for chicken pox,Easy,Remembering,Entity,Disease or medical condition
what two us biochemists won the nobel prize in medicine in     ,Medium,Understanding,Human,Individual
what record company was formed by herb alpert and jerry moss,Medium,Understanding,Human,Groups
where do you find the answers for all these questions,Medium,Creating,Location,Other
what is thermal equilibrium,Easy,Remembering,Description,Definition
what is a term for behavior   appearance   or expression that violates the accepted standards of sexual morality,Easy,Remembering,Entity,Term or equation
what fast food magnate  s initials graced the left sleeve of the san diego padres   baseball uniforms in     ,Medium,Understanding,Human,Groups
what is the origin of the typing practice sentence    now is the time for all good men to come to the aid of their country   ,Easy,Remembering,Description,Description
how many neurons are in the human brain,Hard,Understanding,Numeric,Count
what is a fear of reptiles,Easy,Remembering,Entity,Disease or medical condition
what does knight ridder publish,Medium,Understanding,Entity,"Currency, monetary value, or gem"
what city is   kdge radio located in,Easy,Remembering,Location,City
what can one see in reims,Medium,Understanding,Entity,Other
how is an executioner determined,Easy,Remembering,Description,Manner
what city was bobby kennedy assassinated in,Medium,Understanding,Location,City
what  s the highest possible bid in contract bridge,Easy,Remembering,Entity,Other
what is the medical condition of hypertension,Easy,Remembering,Description,Definition
what london museum features a chamber of horrors,Medium,Understanding,Location,Other
what city is served by mccarren airport,Easy,Remembering,Location,City
how many lakes are there on the earth,Medium,Understanding,Numeric,Count
what is doegs,Easy,Remembering,Description,Definition
who else was considered for the role of luke skywalker when george lucas was casting for star wars,Easy,Remembering,Human,Individual
how long does a fly live,Hard,Understanding,Numeric,Period of time
what two major world religions began in india,Medium,Understanding,Entity,Religion
how many pounds are there in a stone,Medium,Understanding,Numeric,Weight
what kind of poisoning is known as plumbism,Easy,Remembering,Entity,Disease or medical condition
what is the greatest source of    white    magic in the marvel universe,Easy,Remembering,Entity,Other
how do i find if my relatives were on the trail of tears,Medium,Understanding,Description,Manner
what amount of folic acid should an expectant mother take daily,Medium,Creating,Numeric,Other
how do you select wine,Medium,Understanding,Description,Manner
who was the king who signed the magna carta,Easy,Remembering,Human,Individual
how many miles is it from frankfurt   germany to salzburg   austria,Medium,Remembering,Numeric,Count
how many chairs are shown in vincent van gogh  s     work the artist  s room in arles,Hard,Understanding,Numeric,Count
what is a fear of stings,Easy,Remembering,Entity,Disease or medical condition
jude law was in what movie,Medium,Understanding,Entity,"Currency, monetary value, or gem"
what state on the gulf of mexico has its lowest point five feet below sea level,Medium,Understanding,Location,State or province
what was the name of robert fulton  s most famous steamboat,Medium,Remembering,Entity,Vehicle
where can i find a case on americans with disabilities act of    ,Medium,Understanding,Location,Other
who is the leader of india,Easy,Remembering,Human,Individual
who is the prophet that is most connected to the dead sea,Easy,Remembering,Human,Individual
what are the chances of pregnacy if the penis does not penetrate the vagina,Medium,Understanding,Numeric,Percentage
what is infomatics,Easy,Remembering,Description,Definition
what is the purpose of bios,Easy,Remembering,Description,Reason
where is the keck telescope,Easy,Remembering,Location,Other
what is the name of the kids   show from canadian public tv with the singing pineapple,Easy,Remembering,Entity,"Currency, monetary value, or gem"
where are the apartments in saint john   new brunswick,Medium,Understanding,Location,Other
who wrote    the pit and the pendulum   ,Easy,Remembering,Human,Individual
what country did the mau mau uprising take place in,Medium,Understanding,Location,Country
what are some good medical sites for information,Medium,Understanding,Location,Other
what does a resurrectionist steal,Medium,Understanding,Entity,Other
why did the shea & gould law firm leave los angeles,Medium,Understanding,Description,Reason
what is the best art and design school in the world,Easy,Remembering,Human,Groups
what two vegetables are combined in succotash,Medium,Understanding,Entity,Food
who is the incredible hulk in reality,Easy,Remembering,Human,Individual
what does nasa stand for,Hard,Understanding,Abbreviation,Expression
which infectious disease kills the most people worldwide,Medium,Understanding,Entity,Disease or medical condition
what month did the edmund fitzgerald sink,Medium,Understanding,Numeric,Date
what manufacturers are there in texas,Medium,Understanding,Human,Groups
who are the presidents of mexico and indonesia,Easy,Understanding,Human,Individual
who played al jolson in the jolson story,Easy,Remembering,Human,Individual
what is a pig in a poke,Easy,Remembering,Description,Definition
where were the     summer olympics held,Medium,Creating,Location,Other
where is los vegas,Easy,Remembering,Location,Other
name the country which honecker lived in  ,Medium,Remembering,Location,Country
what u s  state are the finger lakes in,Medium,Understanding,Location,State or province
what is a cullion,Easy,Remembering,Description,Definition
what are the ten safest american cities for pedestrians,Medium,Understanding,Location,City
what tv detective did craig stevens play,Easy,Remembering,Human,Individual
what are the most common causes of death in the u s ,Medium,Understanding,Description,Reason
where can i find a picture of a blue meanie,Hard,Understanding,Location,Other
what university fired angela davis,Medium,Understanding,Human,Groups
what u s  state does the continental divide leave to enter canada,Hard,Understanding,Location,State or province
in the past   years who have the mvp players for the nhl been,Easy,Remembering,Human,Individual
in ad       what sort of celebrations   fears   were there,Medium,Understanding,Entity,Other
who played emperor palpatine in star wars,Easy,Remembering,Human,Individual
what  s the name of the wilkes plantation in gone with the wind,Medium,Remembering,Location,Other
why is the universe flat   if it started by an explosion   shouldn  t it be a sphere,Medium,Creating,Description,Reason
where is the statistical abstract of the united states online,Easy,Remembering,Location,Other
what is barnstorming,Easy,Remembering,Description,Definition
what  s the dumbest domesticated animal,Medium,Understanding,Entity,Animal
